Trial ID,Hidden layers,Hidden units,Activation,Recurrent Activation,Score,Pitch Accuracy,Vertical Accuracy,Horizontal Accuracy
02,3,512,tanh,relu,-1.9558625221252441,0.5714285969734192,0.7021563053131104,0.6822776198387146
01,1,256,tanh,elu,-1.9026280641555786,0.5741239786148071,0.6714959740638733,0.6570081114768982
04,3,128,relu,tanh,-1.8979110717773438,0.5030323266983032,0.6950808763504028,0.6997978687286377
08,3,256,tanh,elu,-1.8840970396995544,0.5926550030708313,0.6539757251739502,0.637466311454773
05,1,128,relu,sigmoid,-1.8258086442947388,0.5384097099304199,0.6529649496078491,0.6344339847564697
07,1,256,relu,relu,-1.6357816755771637,0.4636118710041046,0.6192722320556641,0.552897572517395
09,1,512,sigmoid,elu,-1.6300538778305054,0.4784366488456726,0.6081536412239075,0.5434635877609253
00,2,256,elu,relu,-1.6138814389705658,0.4602425992488861,0.618261456489563,0.5353773832321167
06,3,256,relu,relu,-1.408692717552185,0.30121293663978577,0.6169137358665466,0.49056604504585266
03,2,256,relu,relu,-1.1226414889097214,0.3962264060974121,0.2321428507566452,0.49427223205566406
