,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
10,SI,2024-04-16,89.1,1.65,6.2,"Miley, Wade",669134,489119,,called_strike,,,,,13.0,"Luis Campusano grounds out, third baseman Joey Ortiz to first baseman Jake Bauers.   Manny Machado to 3rd.",R,R,L,MIL,SD,S,,,0,0,2024,1.08,0.97,-0.88,2.41,,592518.0,,1,3,Top,,,,,,,-8.48281949509205,-129.5141508188876,-5.349825295843327,13.929658010789598,25.401027881800182,-20.293055947369385,3.32,1.64,,,,89.3,2104.0,6.4,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.13,,,,,,,,23,1,Sinker,1,4,4,1,4,1,4,1,Infield shade,Standard,159.0,0.0,-0.045,,,,0.045,,-3,3,0.184,0.816,37,25,38,26,2,1,6.0,1.0,,3.0,1.89,1.08,-1.08,52.7
11,CH,2024-04-16,82.9,2.0,6.05,"Miley, Wade",673490,489119,sac_bunt,hit_into_play,,,,,7.0,"Ha-Seong Kim out on a sacrifice bunt, pitcher Wade Miley to first baseman Jake Bauers.   Manny Machado to 2nd.",R,R,L,MIL,SD,X,1.0,ground_ball,0,0,2024,1.13,0.6,-0.31,1.93,,,592518.0,0,3,Top,134.09,190.36,,,,,-7.47330516016128,-120.4958698616463,-4.162771172699691,12.37815916106346,21.080232951374796,-25.701835241215488,3.47,1.68,2.0,36.7,-49.0,83.3,1725.0,6.4,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.13,0.3,,0.2,0.0,0.0,0.0,1.0,22,1,Changeup,1,4,4,1,4,1,4,1,Standard,Standard,133.0,0.009,-0.042,11.3,1.7,0.316,0.042,88.0,-3,3,0.175,0.825,37,28,38,29,2,1,6.0,1.0,,1.0,2.7,1.13,-1.13,44.8
12,FC,2024-04-16,85.8,1.91,6.07,"Miley, Wade",592518,489119,walk,ball,,,,,14.0,Manny Machado walks.,R,R,L,MIL,SD,B,,,3,1,2024,-0.17,0.41,0.0,1.13,,,,0,3,Top,,,,,,,-4.161068430379584,-124.8471121043038,-6.298264936847225,-1.0551683379489,22.673437534815506,-26.938450642496285,3.73,1.75,,,,86.1,2187.0,6.2,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.26,,0.689131,0.7,1.0,0.0,0.0,,21,5,Cutter,1,4,4,1,4,1,4,1,Standard,Standard,179.0,-0.02,0.257,,,,-0.257,,-3,3,0.195,0.805,37,31,38,32,2,1,6.0,1.0,,1.0,2.67,-0.17,0.17,50.4
13,FC,2024-04-16,86.8,1.81,6.15,"Miley, Wade",592518,489119,,foul,,,,,7.0,Manny Machado walks.,R,R,L,MIL,SD,S,,,3,0,2024,-0.2,0.89,-0.31,2.07,,,,0,3,Top,,,,,,,-4.652414703079836,-126.32919997262938,-5.422672433573533,-1.2917191953060003,24.380387646457237,-21.778903788614382,3.68,1.72,2.0,80.4,-53.0,87.0,2234.0,6.3,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.23,,,,,,,,21,4,Cutter,1,4,4,1,4,1,4,1,Standard,Standard,165.0,0.0,-0.081,73.6,7.6,,0.081,88.0,-3,3,0.195,0.805,37,31,38,32,2,1,6.0,1.0,,1.0,2.12,-0.2,0.2,50.3
14,FF,2024-04-16,88.7,1.82,6.23,"Miley, Wade",592518,489119,,ball,,,,,12.0,Manny Machado walks.,R,R,L,MIL,SD,B,,,2,0,2024,0.42,1.45,0.04,3.96,,,,0,3,Top,,,,,,,-5.232245009390127,-129.0807285395801,-2.520317605094772,5.833006502738543,26.694197241637035,-15.686183063926798,3.74,1.78,,,,88.6,2288.0,6.2,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.32,,,,,,,,21,3,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard,155.0,0.0,0.132,,,,-0.132,,-3,3,0.195,0.805,37,31,38,32,2,1,6.0,1.0,,1.0,1.45,0.42,-0.42,50.3
15,CH,2024-04-16,81.1,2.12,5.87,"Miley, Wade",592518,489119,,ball,,,,,13.0,Manny Machado walks.,R,R,L,MIL,SD,B,,,1,0,2024,1.41,0.68,-0.88,0.52,,,,0,3,Top,,,,,,,-9.332926025629796,-117.6574718842684,-6.610967000350342,14.862739518848358,21.40096791978126,-24.75695265657861,3.69,1.82,,,,80.6,1783.0,6.1,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.45,,,,,,,,21,2,Changeup,1,4,4,1,4,1,4,1,Standard,Standard,133.0,0.0,0.062,,,,-0.062,,-3,3,0.195,0.805,37,31,38,32,2,1,6.0,1.0,,1.0,2.79,1.41,-1.41,40.4
16,SI,2024-04-16,87.9,1.64,6.22,"Miley, Wade",592518,489119,,ball,,,,,2.0,Manny Machado walks.,R,R,L,MIL,SD,B,,,0,0,2024,1.27,0.99,-0.18,3.85,,,,0,3,Top,,,,,,,-7.004522510653594,-127.9073558915166,-1.679818860664197,15.367861463457167,26.47619450726849,-21.203735588754068,3.76,1.86,,,,87.7,2067.0,6.2,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.34,,,,,,,,21,1,Sinker,1,4,4,1,4,1,4,1,Standard,Standard,158.0,0.0,0.034,,,,-0.034,,-3,3,0.195,0.805,37,31,38,32,2,1,6.0,1.0,,1.0,1.96,1.27,-1.27,51.0
17,CH,2024-04-16,84.0,2.04,5.99,"Miley, Wade",595777,489119,grounded_into_double_play,hit_into_play,,,,,8.0,"Jurickson Profar grounds into a double play, shortstop Willy Adames to second baseman Brice Turang to first baseman Jake Bauers.   Fernando Tatis Jr.  out at 2nd.    Jurickson Profar out at 1st.",R,R,L,MIL,SD,X,6.0,ground_ball,2,2,2024,1.26,0.52,0.08,1.64,,,665487.0,1,2,Top,106.08,156.49,,,,,-7.017237704739711,-122.17226390289174,-4.713947816153979,14.022816631335278,22.757786129176505,-26.24689102293772,3.38,1.65,15.0,107.8,-6.0,83.9,1809.0,6.1,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.35,0.386,0.339,0.0,1.0,0.0,0.0,2.0,17,6,Changeup,1,4,4,1,4,1,4,1,Standard,Standard,130.0,0.03,-0.344,75.3,7.5,0.4,0.344,107.8,-3,3,0.211,0.789,37,31,38,31,2,1,6.0,1.0,,1.0,2.7,1.26,-1.26,47.2
18,FC,2024-04-16,87.0,1.71,6.27,"Miley, Wade",595777,489119,,foul,,,,,11.0,"Jurickson Profar grounds into a double play, shortstop Willy Adames to second baseman Brice Turang to first baseman Jake Bauers.   Fernando Tatis Jr.  out at 2nd.    Jurickson Profar out at 1st.",R,R,L,MIL,SD,S,,,2,2,2024,-0.29,0.59,-1.0,3.31,,,665487.0,1,2,Top,,,,,,,-5.911506421986467,-126.6821573644844,-2.205735271794671,-2.0884638783677008,22.85226032422186,-25.57841473617105,3.38,1.65,11.0,98.2,-17.0,87.4,2287.0,6.2,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.26,,,,,,,,17,5,Cutter,1,4,4,1,4,1,4,1,Standard,Standard,185.0,0.0,0.0,71.3,7.3,,0.0,98.2,-3,3,0.211,0.789,37,31,38,31,2,1,6.0,1.0,,1.0,2.39,-0.29,0.29,53.6
19,CH,2024-04-16,82.8,2.0,5.97,"Miley, Wade",595777,489119,,blocked_ball,,,,,13.0,"Jurickson Profar grounds into a double play, shortstop Willy Adames to second baseman Brice Turang to first baseman Jake Bauers.   Fernando Tatis Jr.  out at 2nd.    Jurickson Profar out at 1st.",R,R,L,MIL,SD,B,,,1,2,2024,1.29,0.43,-0.4,0.23,,,665487.0,1,2,Top,,,,,,,-7.963740409133935,-120.17088176364987,-7.416380584412583,14.025465885411618,22.824122388691357,-26.705860170378,3.39,1.71,,,,82.7,1772.0,6.3,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.2,,,,,,,,17,4,Changeup,1,4,4,1,4,1,4,1,Standard,Standard,131.0,0.0,0.056,,,,-0.056,,-3,3,0.211,0.789,37,31,38,31,2,1,6.0,1.0,,1.0,2.9,1.29,-1.29,42.4
