,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
278,FC,2023-09-21,85.5,2.08,6.14,"Miley, Wade",502671,489119,strikeout,swinging_strike,,,,,14.0,Paul Goldschmidt strikes out swinging.,R,R,L,STL,MIL,S,2.0,,3,2,2023,-0.31,0.37,0.93,1.94,,,,2,3,Bot,,,,,,,-2.0953222436643237,-124.64699728122102,-4.445027296994993,-2.850178991773201,22.025436159921856,-27.679540964107677,3.39,1.61,,,,85.6,2238.0,6.0,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.49,,0.0,0.0,1.0,0.0,0.0,,25,6,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,193.0,-0.013,-0.13,,,,0.13,,-1,-1,0.384,0.384,36,35,37,36,2,1,6.0,1.0,6.0,1.0,2.71,-0.31,0.31,48.4
279,FC,2023-09-21,87.2,1.8,6.33,"Miley, Wade",502671,489119,,ball,,,,,11.0,Paul Goldschmidt strikes out swinging.,R,R,L,STL,MIL,B,,,2,2,2023,-0.57,0.62,-1.48,2.98,,,,2,3,Bot,,,,,,,-6.691721544411163,-126.80035410313695,-3.170309358509816,-4.7789691140309145,25.85876788366782,-25.06752035143074,3.44,1.61,,,,87.0,2108.0,6.2,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.31,,,,,,,,25,5,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,183.0,0.0,0.04,,,,-0.04,,-1,-1,0.384,0.384,36,35,37,36,2,1,6.0,1.0,6.0,1.0,2.38,-0.57,0.57,55.0
280,CH,2023-09-21,84.9,2.1,6.06,"Miley, Wade",502671,489119,,foul,,,,,9.0,Paul Goldschmidt strikes out swinging.,R,R,L,STL,MIL,S,,,2,1,2023,1.42,0.35,0.81,1.54,,,,2,3,Bot,,,,,,,-5.853200903531784,-123.4921902437108,-4.939014262410796,15.727843840703132,24.61386177308516,-27.844758213679334,3.39,1.61,,,,84.8,1836.0,6.2,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.25,,,,,,,,25,4,Changeup,0,1,0,1,1,0,0,1,Standard,Standard,122.0,0.0,-0.031,,,,0.031,,-1,-1,0.384,0.384,36,35,37,36,2,1,6.0,1.0,6.0,1.0,2.82,1.42,-1.42,41.0
281,FC,2023-09-21,85.4,1.98,6.14,"Miley, Wade",502671,489119,,ball,,,,,14.0,Paul Goldschmidt strikes out swinging.,R,R,L,STL,MIL,B,,,1,1,2023,-0.4,0.33,0.19,1.36,,,,2,3,Bot,,,,,,,-3.396835461024008,-124.38741019108438,-5.641589970676031,-3.536282720721693,23.778797092278666,-27.877556640198527,3.49,1.53,,,,85.5,2201.0,6.2,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.32,,,,,,,,25,3,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,185.0,0.0,0.02,,,,-0.02,,-1,-1,0.384,0.384,36,35,37,36,2,1,6.0,1.0,6.0,1.0,2.78,-0.4,0.4,45.1
282,CH,2023-09-21,81.8,2.03,5.98,"Miley, Wade",502671,489119,,ball,,,,,13.0,Paul Goldschmidt strikes out swinging.,R,R,L,STL,MIL,B,,,0,1,2023,1.43,0.67,-0.11,0.68,,,,2,3,Bot,,,,,,,-7.5894092802192095,-118.80852853615043,-6.673393454141543,14.987174115338242,22.054530139976016,-24.76245104607047,3.56,1.61,,,,82.1,1828.0,6.5,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.0,,,,,,,,25,2,Changeup,0,1,0,1,1,0,0,1,Standard,Standard,127.0,0.0,0.012,,,,-0.012,,-1,-1,0.384,0.384,36,35,37,36,2,1,6.0,1.0,6.0,1.0,2.74,1.43,-1.43,43.3
283,CH,2023-09-21,84.2,2.08,6.15,"Miley, Wade",502671,489119,,called_strike,,,,,5.0,Paul Goldschmidt strikes out swinging.,R,R,L,STL,MIL,S,,,0,0,2023,1.33,0.57,-0.08,2.31,,,,2,3,Bot,,,,,,,-7.634355855978978,-122.43271556467944,-3.6786636829731143,14.855935636926642,23.632681499497743,-25.8642761237077,3.51,1.61,,,,84.0,1745.0,6.2,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.33,,,,,,,,25,1,Changeup,0,1,0,1,1,0,0,1,Standard,Standard,125.0,0.0,-0.017,,,,0.017,,-1,-1,0.384,0.384,36,35,37,36,2,1,6.0,1.0,6.0,1.0,2.64,1.33,-1.33,48.5
284,SI,2023-09-21,90.0,1.65,6.31,"Miley, Wade",663457,489119,field_out,hit_into_play,,,,,6.0,"Lars Nootbaar grounds out, first baseman Rowdy Tellez to pitcher Wade Miley.",R,L,L,STL,MIL,X,3.0,ground_ball,0,0,2023,1.07,1.09,0.45,2.68,,,,1,3,Bot,156.34,167.17,,,,,-5.264176655710784,-130.92069778129056,-5.409180657216179,13.388308474157354,25.323806774626487,-18.685088893321478,3.39,1.64,4.0,85.8,-30.0,90.6,2031.0,6.5,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.01,0.054,0.056,0.0,1.0,0.0,0.0,2.0,24,1,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,158.0,-0.019,-0.169,,,0.062,0.169,88.0,-1,-1,0.403,0.403,36,25,37,26,2,1,6.0,1.0,6.0,1.0,1.71,1.07,1.07,51.6
285,CH,2023-09-21,83.9,2.25,6.02,"Miley, Wade",669242,489119,field_out,hit_into_play,,,,,3.0,"Tommy Edman grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,L,STL,MIL,X,6.0,ground_ball,1,2,2023,1.3,0.49,0.75,2.87,,,,0,3,Bot,105.58,149.88,,,,,-6.019740096169975,-122.0824734831766,-1.9135672153804992,14.201727979621944,21.4177224828073,-27.09452741852288,3.22,1.48,21.0,96.7,-7.0,84.0,1813.0,6.1,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.36,0.243,0.255,0.0,1.0,0.0,0.0,2.0,23,5,Changeup,0,1,0,1,1,0,0,1,Standard,Standard,125.0,-0.027,-0.173,,,0.259,0.173,96.7,-1,-1,0.43,0.43,36,28,37,28,2,1,6.0,2.0,6.0,1.0,2.72,1.3,-1.3,42.0
286,CH,2023-09-21,83.6,2.2,6.06,"Miley, Wade",669242,489119,,foul,,,,,6.0,"Tommy Edman grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,L,STL,MIL,S,,,1,2,2023,1.28,0.62,0.54,2.07,,,,0,3,Bot,,,,,,,-6.312803124463694,-121.61073234795394,-3.993143427574928,13.879427118888827,22.76235225504625,-25.43795614437129,3.22,1.48,,,,83.4,1768.0,6.1,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.41,,,,,,,,23,4,Changeup,0,1,0,1,1,0,0,1,Standard,Standard,134.0,0.0,0.0,,,,0.0,,-1,-1,0.43,0.43,36,28,37,28,2,1,6.0,2.0,6.0,1.0,2.63,1.28,-1.28,43.9
287,FC,2023-09-21,85.5,2.05,6.25,"Miley, Wade",669242,489119,,foul,,,,,3.0,"Tommy Edman grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,L,STL,MIL,S,,,1,1,2023,-0.3,0.61,0.69,2.81,,,,0,3,Bot,,,,,,,-2.5758343797474126,-124.62851543657202,-3.12987088159677,-2.7165735943363387,22.53285826727583,-25.379519795073545,3.22,1.48,310.0,90.9,31.0,85.5,2225.0,6.0,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.54,,,,,,,,23,3,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,174.0,0.0,-0.055,,,,0.055,90.9,-1,-1,0.43,0.43,36,28,37,28,2,1,6.0,2.0,6.0,1.0,2.47,-0.3,0.3,48.6
288,FC,2023-09-21,87.0,1.74,6.36,"Miley, Wade",669242,489119,,ball,,,,,13.0,"Tommy Edman grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,L,STL,MIL,B,,,0,1,2023,-0.21,0.7,-1.29,2.06,,,,0,3,Bot,,,,,,,-6.800225183030787,-126.48456479509548,-5.594268628153936,-0.9553295220521552,23.857898513220245,-23.72193375902166,3.27,1.48,,,,86.9,2158.0,6.1,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.37,,,,,,,,23,2,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,170.0,0.0,0.028,,,,-0.028,,-1,-1,0.43,0.43,36,28,37,28,2,1,6.0,2.0,6.0,1.0,2.3,-0.21,0.21,49.4
289,FF,2023-09-21,89.3,1.73,6.36,"Miley, Wade",669242,489119,,called_strike,,,,,7.0,"Tommy Edman grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,L,STL,MIL,S,,,0,0,2023,0.34,1.15,-0.45,1.85,,,,0,3,Bot,,,,,,,-6.047913900706952,-129.8577027550928,-7.518748490572929,5.055402910528681,26.30218163765997,-17.723863893337544,3.29,1.48,,,,89.2,1892.0,6.2,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.33,,,,,,,,23,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,150.0,0.0,-0.038,,,,0.038,,-1,-1,0.43,0.43,36,28,37,28,2,1,6.0,2.0,6.0,1.0,1.7,0.34,-0.34,53.5
290,CH,2023-09-21,84.3,2.09,6.09,"Miley, Wade",691026,489119,strikeout,swinging_strike,,,,,8.0,Masyn Winn strikes out swinging.,R,R,L,STL,MIL,S,2.0,,1,2,2023,1.23,0.53,0.05,1.77,691023.0,,665877.0,2,2,Bot,,,,,,,-7.177436493163312,-122.57964619972051,-4.7214776908397305,13.767570897031629,23.75324667096207,-26.091905266736145,3.43,1.56,,,,84.4,1789.0,6.3,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.16,,0.0,0.0,1.0,0.0,0.0,,17,4,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,126.0,-0.051,-0.366,,,,0.366,,0,0,0.551,0.551,36,21,37,21,1,0,6.0,1.0,6.0,1.0,2.68,1.23,-1.23,45.3
291,FC,2023-09-21,88.1,1.85,6.34,"Miley, Wade",691026,489119,,foul,,,,,4.0,Masyn Winn strikes out swinging.,R,R,L,STL,MIL,S,,,1,1,2023,-0.05,0.77,-0.37,2.74,691023.0,,665877.0,2,2,Bot,,,,,,,-5.316313290402508,-128.33658631758664,-4.34763341693426,0.4431235445479061,23.434639398771967,-22.93787308115769,3.43,1.56,265.0,85.3,48.0,88.9,2270.0,6.5,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.05,,,,,,,,17,3,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,172.0,0.0,-0.124,,,,0.124,88.0,0,0,0.551,0.551,36,21,37,21,1,0,6.0,1.0,6.0,1.0,2.13,-0.05,0.05,53.0
292,FC,2023-09-21,87.9,1.87,6.34,"Miley, Wade",691026,489119,,called_strike,,,,,4.0,Masyn Winn strikes out swinging.,R,R,L,STL,MIL,S,,,1,0,2023,-0.19,0.82,-0.55,2.33,691023.0,,665877.0,2,2,Bot,,,,,,,-5.487621345535988,-127.90555377393038,-5.353687617554469,-1.0167774062920651,24.13696051540484,-22.29858808460617,3.39,1.56,,,,88.2,2200.0,6.3,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.21,,,,,,,,17,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,175.0,0.0,-0.092,,,,0.092,,0,0,0.551,0.551,36,21,37,21,1,0,6.0,1.0,6.0,1.0,2.11,-0.19,0.19,51.7
293,CH,2023-09-21,83.7,2.04,6.19,"Miley, Wade",691026,489119,,ball,,,,,9.0,Masyn Winn strikes out swinging.,R,R,L,STL,MIL,B,,,0,0,2023,1.15,0.67,0.8,1.58,691023.0,,665877.0,2,2,Bot,,,,,,,-5.115029118732981,-121.80334072863825,-5.563479326312359,12.418174149582985,22.497097116307717,-24.653484551467105,3.41,1.54,,,,83.8,1736.0,6.2,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.27,,,,,,,,17,1,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,132.0,0.0,0.07,,,,-0.07,,0,0,0.551,0.551,36,21,37,21,1,0,6.0,1.0,6.0,1.0,2.57,1.15,-1.15,48.2
294,FC,2023-09-21,86.2,1.94,6.35,"Miley, Wade",665877,489119,single,hit_into_play,,,,,2.0,Jose Fermin singles on a line drive to left fielder Mark Canha.   Jordan Walker to 3rd.,R,R,L,STL,MIL,X,7.0,line_drive,0,0,2023,-0.12,0.63,-0.08,3.09,,,691023.0,2,2,Bot,68.01,104.1,,,,,-4.585737669350206,-125.51916314136984,-2.8340316252853337,-0.3536004025388294,24.359521360994364,-25.10319153378196,3.13,1.47,180.0,94.0,13.0,86.5,2242.0,6.4,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.15,0.937,0.891,0.9,1.0,1.0,0.0,4.0,16,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,165.0,0.027,0.309,,,1.099,-0.309,94.0,0,0,0.524,0.524,36,24,37,24,1,0,6.0,1.0,6.0,1.0,2.42,-0.12,0.12,51.0
295,CH,2023-09-21,83.7,2.13,6.16,"Miley, Wade",668800,489119,strikeout,swinging_strike,,,,,12.0,Andrew Knizner strikes out swinging.,R,R,L,STL,MIL,S,2.0,,3,2,2023,1.32,0.58,1.12,3.05,,,691023.0,1,2,Bot,,,,,,,-4.918540608644943,-121.82195983419471,-1.93429221159938,14.139274019120029,22.793165236475858,-26.18878239695092,3.25,1.51,,,,83.6,1747.0,6.1,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.39,,0.0,0.0,1.0,0.0,0.0,,15,7,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,134.0,-0.029,-0.37,,,,0.37,,0,0,0.553,0.553,36,28,37,28,1,0,6.0,2.0,6.0,2.0,2.66,1.32,-1.32,45.9
296,FC,2023-09-21,86.7,2.04,6.17,"Miley, Wade",668800,489119,,blocked_ball,,,,,13.0,Andrew Knizner strikes out swinging.,R,R,L,STL,MIL,B,,,2,2,2023,-0.29,0.62,-0.11,0.91,,,691023.0,1,2,Bot,,,,,,,-4.528712709804297,-126.16022857357687,-7.676561233351602,-2.2367776851200123,24.250278026034582,-24.18155907979036,3.19,1.5,,,,86.8,2085.0,6.2,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.26,,,,,,,,15,6,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,169.0,0.0,0.099,,,,-0.099,,0,0,0.553,0.553,36,28,37,28,1,0,6.0,2.0,6.0,2.0,2.39,-0.29,0.29,47.2
297,CH,2023-09-21,84.4,2.09,6.16,"Miley, Wade",668800,489119,,ball,,,,,14.0,Andrew Knizner strikes out swinging.,R,R,L,STL,MIL,B,,,1,2,2023,1.28,0.38,0.36,0.91,,,691023.0,1,2,Bot,,,,,,,-6.563665706983355,-122.72751872622143,-6.633357588593154,14.190341002361416,22.9999590894955,-27.21355023885042,3.19,1.51,,,,84.5,1784.0,6.3,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.24,,,,,,,,15,5,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,131.0,0.0,0.055,,,,-0.055,,0,0,0.553,0.553,36,28,37,28,1,0,6.0,2.0,6.0,2.0,2.81,1.28,-1.28,44.7
298,CH,2023-09-21,83.5,2.06,6.14,"Miley, Wade",668800,489119,,foul,,,,,3.0,Andrew Knizner strikes out swinging.,R,R,L,STL,MIL,S,,,1,2,2023,1.21,0.63,0.77,2.99,,,691023.0,1,2,Bot,,,,,,,-5.33467306741286,-121.62273871494592,-2.0918211698818205,13.07711169637227,22.715009042281945,-25.748888827092145,3.25,1.51,1.0,58.8,-67.0,83.6,1742.0,6.2,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.31,,,,,,,,15,4,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,132.0,0.0,0.0,,,,0.0,88.0,0,0,0.553,0.553,36,28,37,28,1,0,6.0,2.0,6.0,2.0,2.62,1.21,-1.21,44.2
299,FC,2023-09-21,87.5,1.89,6.34,"Miley, Wade",668800,489119,,foul,,,,,7.0,Andrew Knizner strikes out swinging.,R,R,L,STL,MIL,S,,,1,1,2023,-0.34,0.57,-0.47,1.81,,,691023.0,1,2,Bot,,,,,,,-5.008240992666816,-127.2762026220932,-5.992082979379434,-2.7928946998663537,24.37040078787173,-25.01910171009177,3.25,1.51,3.0,88.9,-35.0,87.8,2193.0,6.3,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.15,,,,,,,,15,3,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,175.0,0.0,-0.065,,,,0.065,88.9,0,0,0.553,0.553,36,28,37,28,1,0,6.0,2.0,6.0,2.0,2.4,-0.34,0.34,54.1
300,FC,2023-09-21,87.5,1.87,6.35,"Miley, Wade",668800,489119,,called_strike,,,,,6.0,Andrew Knizner strikes out swinging.,R,R,L,STL,MIL,S,,,1,0,2023,-0.13,0.97,0.32,2.54,,,691023.0,1,2,Bot,,,,,,,-3.477316329043162,-127.3273683460536,-5.068680558047278,-0.6714390475592871,26.192121194034943,-20.741615929364723,3.34,1.5,,,,87.5,2187.0,6.3,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.18,,,,,,,,15,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,167.0,0.0,-0.062,,,,0.062,,0,0,0.553,0.553,36,28,37,28,1,0,6.0,2.0,6.0,2.0,2.0,-0.13,0.13,52.2
301,FC,2023-09-21,87.8,1.87,6.35,"Miley, Wade",668800,489119,,ball,,,,,13.0,Andrew Knizner strikes out swinging.,R,R,L,STL,MIL,B,,,0,0,2023,-0.19,0.81,-0.89,1.21,,,691023.0,1,2,Bot,,,,,,,-6.259346752701388,-127.54378997771911,-7.991222902754263,-0.8400860788033276,24.8616331911646,-21.900492902000355,3.32,1.51,,,,87.7,2219.0,6.2,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.28,,,,,,,,15,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,167.0,0.0,0.042,,,,-0.042,,0,0,0.553,0.553,36,28,37,28,1,0,6.0,2.0,6.0,2.0,2.14,-0.19,0.19,50.8
302,FF,2023-09-21,90.4,1.98,6.27,"Miley, Wade",691023,489119,walk,ball,,,,,13.0,Jordan Walker walks.,R,R,L,STL,MIL,B,,,3,0,2023,0.36,1.43,-0.79,1.17,,,,1,2,Bot,,,,,,,-7.651628677610357,-131.1516685309142,-9.769143878744387,5.7499558106570055,27.65823101714316,-13.774930111290534,3.93,1.89,,,,90.2,2154.0,6.3,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.17,,0.695903,0.7,1.0,0.0,0.0,,14,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,147.0,0.026,0.109,,,,-0.109,,0,0,0.527,0.527,36,21,37,21,1,0,6.0,1.0,6.0,1.0,1.38,0.36,-0.36,48.9
303,CH,2023-09-21,83.5,2.04,6.13,"Miley, Wade",691023,489119,,ball,,,,,14.0,Jordan Walker walks.,R,R,L,STL,MIL,B,,,2,0,2023,1.44,0.82,0.04,1.12,,,,1,2,Bot,,,,,,,-7.410320157296162,-121.3231607084216,-6.676050753542645,15.660450363257263,23.896260118998992,-22.950817234432847,3.93,1.89,,,,83.3,1829.0,6.3,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.22,,,,,,,,14,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,135.0,0.0,0.09,,,,-0.09,,0,0,0.527,0.527,36,21,37,21,1,0,6.0,1.0,6.0,1.0,2.46,1.44,-1.44,46.4
304,FC,2023-09-21,87.0,1.74,6.31,"Miley, Wade",691023,489119,,ball,,,,,13.0,Jordan Walker walks.,R,R,L,STL,MIL,B,,,1,0,2023,-0.08,0.72,-1.49,1.87,,,,1,2,Bot,,,,,,,-7.593809681017243,-126.4148559461071,-5.936091160742127,0.7239370430108933,25.979759061022527,-23.41487799251724,3.97,1.89,,,,87.1,2284.0,6.4,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.07,,,,,,,,14,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,169.0,0.0,0.042,,,,-0.042,,0,0,0.527,0.527,36,21,37,21,1,0,6.0,1.0,6.0,1.0,2.3,-0.08,0.08,51.7
305,CU,2023-09-21,76.0,1.91,6.3,"Miley, Wade",691023,489119,,ball,,,,,13.0,Jordan Walker walks.,R,R,L,STL,MIL,B,,,0,0,2023,-0.34,-0.94,-0.4,0.25,,,,1,2,Bot,,,,,,,-4.205062247995458,-110.5502346216195,-3.872609157567569,-1.99899221740754,20.49919977354841,-39.3670357717305,3.95,1.89,,,,75.4,2410.0,6.0,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.52,,,,,,,,14,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,323.0,0.0,0.025,,,,-0.025,,0,0,0.527,0.527,36,21,37,21,1,0,6.0,1.0,6.0,1.0,4.9,-0.34,0.34,55.2
306,CH,2023-09-21,83.8,2.04,6.21,"Miley, Wade",660766,489119,field_out,hit_into_play,,,,,5.0,"Juan Yepez grounds out, third baseman Andruw Monasterio to first baseman Rowdy Tellez.",R,R,L,STL,MIL,X,5.0,ground_ball,1,1,2023,1.21,0.8,0.0,2.25,,,,0,2,Bot,109.64,178.36,,,,,-7.091707563525289,-121.80501964183222,-4.298951031786253,13.395497358145358,24.11672597260869,-23.584699485161167,3.38,1.65,16.0,88.3,-8.0,83.6,1837.0,6.3,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.23,0.166,0.144,0.0,1.0,0.0,0.0,2.0,13,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,137.0,-0.023,-0.228,,,0.197,0.228,88.3,0,0,0.55,0.55,36,25,37,25,1,0,6.0,109.0,6.0,2.0,2.46,1.21,-1.21,51.2
307,CH,2023-09-21,82.8,2.01,6.13,"Miley, Wade",660766,489119,,ball,,,,,14.0,"Juan Yepez grounds out, third baseman Andruw Monasterio to first baseman Rowdy Tellez.",R,R,L,STL,MIL,B,,,0,1,2023,1.4,0.54,0.65,1.1,,,,0,2,Bot,,,,,,,-5.8469678512527175,-120.3339382905441,-6.037839761521407,14.777371969417462,23.14143864169966,-25.948066499571688,3.49,1.65,,,,82.7,1775.0,6.2,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.26,,,,,,,,13,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,136.0,0.0,0.028,,,,-0.028,,0,0,0.55,0.55,36,25,37,25,1,0,6.0,109.0,6.0,2.0,2.79,1.4,-1.4,46.1
308,FC,2023-09-21,85.4,1.75,6.41,"Miley, Wade",660766,489119,,foul,,,,,4.0,"Juan Yepez grounds out, third baseman Andruw Monasterio to first baseman Rowdy Tellez.",R,R,L,STL,MIL,S,,,0,0,2023,-0.36,0.88,-0.79,2.52,,,,0,2,Bot,,,,,,,-5.209825909325154,-124.3627354576528,-4.657896920020615,-2.7952440798657725,23.46421869288032,-22.3300983631324,3.38,1.65,,,,85.2,2159.0,6.0,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.51,,,,,,,,13,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,170.0,0.0,-0.038,,,,0.038,,0,0,0.55,0.55,36,25,37,25,1,0,6.0,109.0,6.0,2.0,2.23,-0.36,0.36,52.5
309,FC,2023-09-21,87.3,1.83,6.36,"Miley, Wade",571448,489119,field_out,hit_into_play,,,,,7.0,"Nolan Arenado grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,L,STL,MIL,X,6.0,ground_ball,0,1,2023,-0.29,0.62,-0.77,1.88,,502671.0,,2,1,Bot,100.86,147.87,,,,,-5.676257016890319,-127.08986101148376,-5.999955522564207,-2.1515141252260834,21.984315061979974,-24.538682129351432,3.38,1.68,6.0,87.0,-15.0,88.1,2292.0,6.4,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.06,0.094,0.075,0.0,1.0,0.0,0.0,2.0,9,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,173.0,-0.033,-0.275,,,0.107,0.275,88.0,0,0,0.533,0.533,36,32,37,32,1,0,6.0,2.0,6.0,,2.33,-0.29,0.29,54.3
310,FC,2023-09-21,87.0,1.97,6.33,"Miley, Wade",571448,489119,,called_strike,,,,,7.0,"Nolan Arenado grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,L,STL,MIL,S,,,0,0,2023,-0.05,0.57,-0.71,2.04,,502671.0,,2,1,Bot,,,,,,,-6.311023998507254,-126.53265889459084,-5.288101149196194,0.7322575027674333,24.762139500439275,-25.15179225735411,3.37,1.68,,,,87.1,2179.0,6.3,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.24,,,,,,,,9,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,176.0,0.0,-0.051,,,,0.051,,0,0,0.533,0.533,36,32,37,32,1,0,6.0,2.0,6.0,,2.43,-0.05,0.05,52.3
311,FF,2023-09-21,90.8,1.82,6.32,"Miley, Wade",502671,489119,double,hit_into_play,,,,,7.0,Paul Goldschmidt doubles (29) on a sharp line drive to left fielder Mark Canha.,R,R,L,STL,MIL,X,7.0,line_drive,0,1,2023,0.31,1.42,-0.43,2.04,,,,2,1,Bot,90.38,53.2,,,,,-6.267294647143074,-131.9291575080475,-7.859814647398131,4.838484393948002,26.181812498622808,-14.125712900343125,3.39,1.61,371.0,111.4,17.0,90.9,2341.0,6.3,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.22,0.78,1.012,1.25,1.0,1.0,1.0,6.0,8,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,157.0,0.023,0.239,,,1.641,-0.239,111.4,0,0,0.51,0.51,36,35,37,36,1,0,6.0,1.0,6.0,1.0,1.34,0.31,-0.31,49.9
312,CU,2023-09-21,75.7,1.75,6.28,"Miley, Wade",502671,489119,,swinging_strike,,,,,14.0,Paul Goldschmidt doubles (29) on a sharp line drive to left fielder Mark Canha.,R,R,L,STL,MIL,S,,,0,0,2023,-0.37,-0.86,0.34,1.38,,,,2,1,Bot,,,,,,,-2.2765659681595234,-110.27096699953393,-1.6426053710536692,-2.687023729242857,18.439576363182,-39.16696347887448,3.39,1.61,,,,75.7,2280.0,6.1,716491,605170,642133,668930,655316,642715,592192,663368,686217,54.39,,,,,,,,8,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,321.0,0.0,-0.017,,,,0.017,,0,0,0.51,0.51,36,35,37,36,1,0,6.0,1.0,6.0,1.0,4.81,-0.37,0.37,54.1
