Trial ID,Hidden layers,Head size,Number of heads,Feed forward dimension,Activation,Score,Pitch Accuracy,Vertical Accuracy,Horizontal Accuracy
06,2,64,4,256,relu,-2.148031532764435,0.6339895129203796,0.7906824350357056,0.7233595848083496
07,3,32,6,128,tanh,-2.0401574969291687,0.6001312136650085,0.7551181316375732,0.6849081516265869
09,1,128,2,256,relu,-2.039107620716095,0.5724409222602844,0.7709974050521851,0.6956692934036255
01,2,64,2,128,relu,-2.015879273414612,0.5874015688896179,0.7476378083229065,0.6808398962020874
00,3,128,2,128,tanh,-1.9950131177902222,0.5780839920043945,0.748293936252594,0.6686351895332336
04,1,64,2,256,relu,-1.9682414531707764,0.5511810779571533,0.7535433173179626,0.6635170578956604
05,2,128,4,256,sigmoid,-1.9555118083953857,0.5677165389060974,0.7283464670181274,0.6594488024711609
03,2,64,4,256,tanh,-1.95249342918396,0.567585289478302,0.7227033972740173,0.6622047424316406
08,1,256,4,128,sigmoid,-1.8522309958934784,0.4818897545337677,0.719028890132904,0.6513123512268066
02,1,64,2,64,sigmoid,-1.7610235810279846,0.46587926149368286,0.7103674411773682,0.5847768783569336
